document,date,datetype,location
MN2714,1906,instance,N/A
No-MM_K0117,1889-03-01,instance,N/A
No-MM_K0119,1889-03-11,instance,N/A
No-MM_K0311,1896-06-27,instance,N/A
No-MM_K0585,1899-12-10,instance,N/A
No-MM_K0798,1902,instance,N/A
No-MM_K0853,1906-08,instance,N/A
No-MM_K1503,1892-06-27,instance,N/A
No-MM_K1594,1893-06,instance,N/A
No-MM_K1767,1903-10,instance,N/A
No-MM_K1797,1903-05,instance,N/A
No-MM_K1803,1903-07,instance,N/A
No-MM_K4379,1890-02-18,instance,N/A
No-MM_K4401,1891-11-28,instance,N/A
No-MM_K4410,1892-01-11,instance,N/A
No-MM_K4423,1893-04-30,instance,N/A
No-MM_K4429,1894-04-18,instance,N/A
No-MM_K4435,1894-12,instance,N/A
No-MM_K4521,1895-03-13,instance,N/A
No-MM_K4523,1895-06-18,instance,N/A
No-MM_K4529,1896-06-23,instance,N/A
No-MM_K4532,1896-09-14,instance,N/A
No-MM_K4540,1899-11-21,instance,N/A
No-MM_K4548,1899-04-21,instance,N/A
No-MM_K4742,1909-05,instance,N/A
No-MM_K4768,1902.03.09%1902.03.11,fromTo,N/A
No-MM_K5061,1894-12-01,instance,N/A
No-MM_K5138,1891-04-01,instance,N/A
No-MM_K5139,1892-02,instance,N/A
No-MM_N0002,1889-12,instance,N/A
No-MM_N0033,N/A,N/A,Saint-Cloud
No-MM_N0041,1929-02,instance,N/A
No-MM_N0057,N/A,N/A,Warnemünde
No-MM_N0063,N/A,N/A,Saint-Cloud
No-MM_N0118,1889-02,instance,N/A
No-MM_N0120,N/A,N/A,Paris
No-MM_N0123,1890.09%1890.10,fromTo,N/A
No-MM_N0139,1909-03,instance,N/A
No-MM_N0156,1909-02,instance,N/A
No-MM_N0160,1896,instance,N/A
No-MM_N0161,1930,instance,N/A
No-MM_N0183,1915-09,instance,N/A
No-MM_N0184,1915-09,instance,N/A
No-MM_N0186,1912-02,instance,N/A
No-MM_N0188,1896-08,instance,N/A
No-MM_N0196,1916%1916,fromTo,N/A
No-MM_N0197,1916%1916,fromTo,N/A
No-MM_N0198,1916%1916,fromTo,N/A
No-MM_N0202,1902,instance,N/A
No-MM_N0206,1896.12%1897.01,fromTo,N/A
No-MM_N0213,1929-02,instance,N/A
No-MM_N0253,1929-02,instance,N/A
No-MM_N0266,1907%1907,fromTo,N/A
No-MM_N0275,1932-11,instance,N/A
No-MM_N0277,1909-01,instance,N/A
No-MM_N0278,1899,instance,N/A
No-MM_N0341,N/A,N/A,Oslo
No-MM_N0395,1918-09,instance,Oslo
No-MM_N0490,N/A,N/A,Berlin
No-MM_N0492,1909-12,instance,N/A
No-MM_N0553,1896-12,instance,N/A
No-MM_N0561,N/A,N/A,Oslo
No-MM_N0570,N/A,N/A,Oslo
No-MM_N0619,1909-11,instance,N/A
No-MM_N0668,N/A,N/A,Weimar
No-MM_N0669,1906.12%1907.01,fromTo,N/A
No-MM_N0670,1911-10,instance,N/A
No-MM_N0672,1916%1916,fromTo,N/A
No-MM_N0678,1916%1916,fromTo,N/A
No-MM_N0679,N/A,N/A,Oslo
No-MM_N0681,1916%1916,fromTo,N/A
No-MM_N0685,N/A,N/A,Åsgårdstrand
No-MM_N0687,N/A,N/A,Oslo
No-MM_N0698,1926-10,instance,N/A
No-MM_N0702,1905,instance,N/A
No-MM_N0703,N/A,N/A,Oslo
No-MM_N0710,1914-09,instance,N/A
No-MM_N0711,N/A,N/A,Oslo
No-MM_N0716,1874-06-18,instance,N/A
No-MM_N0717,1875-08-02,instance,Løten
No-MM_N0718,1878-05-18,instance,N/A
No-MM_N0719,1885-05-01,instance,N/A
No-MM_N0720,1889-02-01,instance,N/A
No-MM_N0721,1889-10-09,instance,Paris
No-MM_N0722,1889-11-02,instance,N/A
No-MM_N0723,1878-08-20,instance,Gardermoen
No-MM_N0724,1879-07-06,instance,Helgelandsmoen
No-MM_N0725,1891-01-02,instance,Le Havre
No-MM_N0726,1894-04,instance,N/A
No-MM_N0727,1894-10,instance,N/A
No-MM_N0728,1876-06-27,instance,Gardermoen
No-MM_N0729,1879-06-21,instance,Helgelandsmoen
No-MM_N0730,1882-05-26,instance,N/A
No-MM_N0731,1884.06%1884.07,fromTo,N/A
No-MM_N0732,1884.06%1884.07,fromTo,N/A
No-MM_N0733,1884.08%1884.09,fromTo,N/A
No-MM_N0734,1885-05-05,instance,Paris
